15	-12	-3
19	-14	-10
8	-6	-3
9	-15	-7
8	-20	-13
10	-21	-8
16	-17	-13
12	-15	-1
4	-16	-13
11	-5	-18
8	-7	-2
10	-21	-17
8	-7	10
11	-19	-11
5	-14	30
10	-22	-7
15	-15	-16
15	2	0
16	-17	-6
24	-13	-10
5	0	-6
4	-20	-16
12	-15	-14
3	-9	-10
-7	-25	-9
13	-5	30
13	-20	-6
18	-23	-18
6	-16	-5
16	-7	-9
3	-9	-14
3	-19	-4
18	-7	1
24	-8	-7
11	-19	-14
7	-16	-18
8	-11	1
17	-7	-2
15	-9	-2
2	-21	-11
4	-21	-11
5	-19	-12
5	-22	-10
3	-24	19
5	-17	-5
2	-14	-1
12	-11	-7
4	9	1
0	-2	-9
5	-19	5
3	-10	7
-4	-14	-6
-8	-13	-6
8	-9	-9
18	-17	-3
20	-21	-1
0	-3	-5
4	-10	-4
-3	-15	-14
8	-19	-3
17	-8	-8
12	-6	-13
0	-11	-10
16	-6	-7
0	-17	-6
9	-17	-11
18	-16	28
1	-29	2
12	-14	-6
5	-10	-16
11	-16	-7
23	-15	-9
14	10	12
6	-8	52
2	-12	2
10	-11	-11
10	-14	14
5	-13	4
10	-21	-4
10	-21	-20
6	-17	-13
2	-19	-7
6	-16	0
8	-23	13
8	-10	-1
14	-11	-11
20	-8	-5
6	-11	1
8	-15	-5
12	-19	-17
7	-10	28
20	-20	-9
21	-17	2
-1	-7	2
3	-9	-14
11	-17	-12
9	-15	-6
9	-11	-6
6	7	20
2	-21	1
4	-18	-20
7	-24	-8
18	-11	-12
12	-18	3
4	2	22
9	-17	1
8	-12	-20
10	-8	44
-2	-3	-6
-1	-9	-5
9	-18	-12
1	-10	-9
4	-25	-15
5	-22	-16
6	-8	-10
4	4	33
2	-7	10
3	-3	5
8	-13	5
-2	-13	-2
12	-19	-8
-5	-13	-8
-1	-13	-16
1	-23	-18
-2	-12	-11
-2	-28	-11
-3	-15	-7
8	-11	-5
0	-15	-8
2	-29	4
2	-26	-4
-2	-25	-6
-7	-17	-1
-6	-21	-2
-2	-27	-21
2	-22	-9
-3	-15	-12
12	-15	-6
1	-26	-5
13	-10	-10
20	-29	-4
12	0	-9
17	-15	-6
2	-12	4
8	-36	0
7	-21	-6
-10	-24	-6
10	-10	-23
20	1	-4
-8	-15	1
-2	-14	-18
-10	-7	-13
-5	-13	2
10	-22	-16
1	-9	-20
4	-14	-12
-6	-17	-14
1	-17	-14
-6	-15	-18
-5	-16	3
6	-22	-13
0	-25	-20
3	-12	-10
-6	-26	-2
2	-5	-12
-4	-23	-12
-5	-19	5
-2	-16	-5
-8	-13	-12
-5	-6	-6
5	-18	-21
-2	-25	-10
-1	-14	-14
11	-21	-8
4	-14	-9
4	-19	-16
0	-17	-16
6	-9	-7
16	-22	3
1	-16	-8
2	-7	46
-11	-10	-3
11	-11	-9
9	-16	3
2	-18	-9
10	-14	-11
6	9	14
3	5	11
12	-14	-11
11	-10	-1
7	-19	-10
-4	-25	-6
6	-19	-15
2	-18	-10
4	-6	-8
3	-2	-4
3	-6	-9
6	0	-18
3	-20	-5
3	5	41
-3	-11	-6
3	-20	-16
12	-20	-8
2	-8	-17
5	-5	-3
-1	-11	-13
10	-10	-10
13	-12	55
4	-3	-18
